stock_code,primary_class,confidence_score,annualized_volatility,max_drawdown,autocorr_1d,hurst_exponent,beta_to_vnindex,sample_size,date_range,composite_score
HSL,High_Risk,0.9830677013772905,0.5004919352063056,-0.8845323741007194,0.20905571833261946,0.03700447164265787,0.7829542436205809,1415,2018-05-11 to 2023-12-29,0.9999999999999999
VTL,High_Risk,0.9830658815992964,0.47620506493437537,-0.7578947368421053,0.1573048455144874,0.032827412016242036,0.07854168231198616,1481,2018-01-03 to 2023-12-29,0.9558113969560357
FRT,High_Risk,0.9829659396511901,0.524228955155434,-0.9375,0.09291452584689881,0.018520892108579916,1.132138754800483,1422,2018-04-27 to 2023-12-29,0.9477874261164004
TDG,High_Risk,0.9818919664269885,0.5165969056841189,-0.8867647058823529,0.1916526911586212,0.028966938206136845,0.9208317306883123,1497,2018-01-03 to 2023-12-29,0.9999999999999999
CPC,High_Risk,0.9803878641620845,0.48265698276698366,-0.6843373493975904,-0.22074309798401698,-0.039428368576324334,-0.002646245297105645,1495,2018-01-03 to 2023-12-29,0.6833561048316981
UNI,High_Risk,0.9788154123903738,0.6545821132412516,-0.7848484848484849,-0.06499221234340259,-0.006302799950445022,0.4368953560041122,1486,2018-01-03 to 2023-12-29,0.7985241004179088
VBB,High_Risk,0.9759015998427847,0.5015283205065215,-0.732,-0.08076287270627454,-0.012877814270140201,0.8614641633509821,1094,2019-07-31 to 2023-12-29,0.7150058970394424
TKU,High_Risk,0.9758019784702954,0.6258496072308779,-0.8075396825396826,0.10393481208333481,0.022457278230720846,0.34765098351302687,1486,2018-01-03 to 2023-12-29,0.9745681946132072
VPB,High_Risk,0.9749185064401202,0.4585007036166113,-0.7984869325997249,0.061167742421626856,0.004304551554291143,1.3607293588755693,1497,2018-01-03 to 2023-12-29,0.7603645246696215
SJM,High_Risk,0.9742565544244524,1.088861535863469,-0.7454545454545455,-0.05993432259170806,-0.01103497905886576,0.3013263308215855,1483,2018-01-03 to 2023-12-29,0.6963989642577258
CRC,High_Risk,0.9738163872290466,0.4161452299155252,-0.7991379310344827,0.1475631196601028,0.017626505351902546,0.7293122102684131,1343,2018-08-21 to 2023-12-29,0.740791580835578
SHB,High_Risk,0.9724889544335882,0.45987087161877516,-0.7273846153846154,0.09170046251202989,0.0128138345758696,1.2556856231458216,1496,2018-01-03 to 2023-12-29,0.7582587032048379
BTS,High_Risk,0.9708105663473848,0.5573101992399344,-0.7543859649122807,-0.056409646252480884,-0.023691891743767273,0.7378706388929261,1495,2018-01-03 to 2023-12-29,0.7090819502518089
FIC,High_Risk,0.9699162278932396,0.9439494259181362,-0.7261904761904762,-0.18030632097689173,-0.02835283802667092,0.5217011853520014,1347,2018-08-03 to 2023-12-29,0.7829273818964542
KLB,High_Risk,0.9683872862745859,0.5956270153907525,-0.736842105263158,-0.18310885103801153,-0.035922281480909674,0.4632610945603969,1487,2018-01-03 to 2023-12-29,0.8082682916649278
DTD,High_Risk,0.9671954885123095,0.591641463610937,-0.8588640275387264,0.16070111536784143,0.019320541673942374,1.1109978241059217,1496,2018-01-03 to 2023-12-29,0.9999999999999999
SZC,High_Risk,0.9670483218590717,0.49362477375003705,-0.7374100719424461,0.08405387431808595,0.013308243126817235,1.4109540777786242,1240,2019-01-16 to 2023-12-29,0.8358743794883154
CMT,High_Risk,0.9665166888971884,0.6797297348684914,-0.7544303797468355,-0.13054812030696958,-0.013860146169727897,0.5181930027227064,1483,2018-01-03 to 2023-12-29,0.8501119264397354
HSG,High_Risk,0.9619581250282736,0.5054088405529813,-0.8525576730190572,0.09415105602852807,0.010544959123769385,1.4672618363915848,1496,2018-01-03 to 2023-12-29,0.9477456579791985
SGT,High_Risk,0.9604940243069224,0.5847862004595069,-0.7546174142480211,0.050027447065948645,0.004852833215261821,0.6050156936949106,1496,2018-01-03 to 2023-12-29,0.7646012800619842
TNT,High_Risk,0.9596669699919074,0.5434883656476779,-0.8643564356435643,0.19159946782357257,0.03135150030771388,0.8272730602228779,1497,2018-01-03 to 2023-12-29,0.9999999999999999
VHC,High_Risk,0.9595427768728584,0.4697172033909604,-0.8174532502226179,0.08106561764607437,0.014941664134595025,0.9728693849260136,1496,2018-01-03 to 2023-12-29,0.8887246339176206
HCM,High_Risk,0.9587826539016802,0.5160415411184054,-0.878804347826087,0.023794078189961446,0.006439821128164859,1.6236771451567218,1497,2018-01-03 to 2023-12-29,0.7778596331542551
VHG,High_Risk,0.9584667962598441,0.9752125414941606,-0.9148936170212766,-0.08214663300039224,-0.016114789970080645,1.3306023356175802,1475,2018-01-03 to 2023-12-29,0.8216200072913541
